rublər,gdp,dovlət_gəlirləri,dovlət_xərcləri,əhalinin_nominal_gəlirləri,əhalinin_banklardakı_əmanətləri,orta_aylıq_əməkhaqqı,xarici_ticarət_dovriyyəsi,ixrac,idxal,pul_bazası,oil_price,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait,istehlak_xərcləri,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar,mənzil_qiymətləri,nagd_pul_kredit_satısı,mustərilərə_verilmis_kreditlər,npls,roa,roe,net_interest_margin,efficiency_ratio,loan_to_deposit_ratio,mustəri_sayı,ucot_faiz_dərəcəsi,__raw_quarter_values,quarter_parsed
2020.0,17928100.0,7810900.0,5254800.0,13442500.0,8251700.000000001,0.7445,11382010.0,6899110.000000001,4482900.0,10066900.0,0.08574799999999999,1963955.7000000004,0.31892000000000004,288706.6,1.2239364548641833,46642.84149,359233.76243999996,25.853673930000003,0.004617578529628053,0.029687478364957293,0.024342576471346005,0.7690097062167015,1.3068912537214128,25304.0,0.0725,2020 I,
2020.0,16450599.999999998,4211800.000000001,6475999.999999999,13935300.0,7706400.0,0.72,8593330.0,4594079.999999999,3999250.0,11251800.0,0.049883666666666666,2030799.3000000005,0.28658999999999996,337427.20000000007,1.2235692739277242,15709.384469999999,349405.74088,37.21127755,0.014253847789780685,0.07770286453946426,0.026547197512089178,0.71419429090324,1.3164389947378057,16316.0,0.07,2020 II ,
2020.0,17965600.000000007,5941799.999999999,6911299.999999999,14231200.0,7834300.0,0.7066,10336169.999999996,5518369.999999999,4817800.0,12230100.0,0.07303766666666667,2206427.1000000006,0.2949,316308.79999999993,1.2234469170003315,51257.54776999999,366496.28304999997,37.87129843,0.02184750934813576,0.11813248607322183,0.02728564062843211,0.7132890742379489,1.3549482664887795,32598.0,0.065,2020 III,
2020.0,20233800.000000004,6708599.999999998,7775000.0,14117099.999999998,8177900.0,0.7072999999999999,10830359.999999998,5888120.000000001,4942240.000000001,13564200.0,0.075293,3152893.000000002,0.29778,424897.4,1.2235692616920317,26391.99772,337946.33647,26.704039339999998,0.030942700999557527,0.16588028263528046,0.02626729965385414,0.7365853660170351,1.2369777699073776,28564.0,0.0625,2020 IV,
2021.0,19181900.0,5736400.0,5523700.0,13455900.0,8147500.0,0.7132000000000001,11962560.0,7660710.0,4301849.999999999,13315000.0,0.10339399999999999,1490116.6999999995,0.3082,205773.4,1.2474288622950265,53293.77411,355393.13544000004,39.60683428,0.009507776492201015,0.050802837170902546,0.025882746944337297,0.7108418105950088,1.2543052627744367,39842.0,0.0625,2021 I,
2021.0,21581799.999999996,6018600.0,6066800.0,14124800.000000002,8435400.0,0.7243999999999999,12942949.999999998,8079760.0,4863190.0,13803000.0,0.11701666666666666,2537314.000000001,0.29073000000000004,262768.6,1.2582814933969932,74915.81485,389933.88746,42.22305931000001,0.02008638762240935,0.10836242413491572,0.027732911320826007,0.6789003499816731,1.322832269564644,49708.0,0.0625,2021 II,
2021.0,23125300.000000004,6116599.999999998,6121400.000000002,14670999.999999996,8838100.0,0.7232000000000001,14473460.0,9452850.0,5020610.000000001,14498700.0,0.12489900000000001,2639269.700000001,0.30229,258691.09999999998,1.2858378581023873,71351.55851,409561.79125,41.38270958,0.033952510439768414,0.17831730686197006,0.02950487172718417,0.6670927293348451,1.3139489680721417,48616.0,0.065,2021 III,
2021.0,29314199.999999996,8547500.0,9700099.999999998,14929800.000000004,9241500.0,0.7321,21066910.000000004,15352699.999999996,5714209.999999998,17937600.0,0.13529733333333333,3720371.7,0.30857999999999997,311437.80000000005,1.2902097068199354,78919.64358000002,413861.28816000005,13.569919370924982,0.04635290564968184,0.24408777789863165,0.032116449491995054,0.6815215460047969,1.3937626798039402,53615.0,0.07125000000000001,2021 IV,
2022.0,30037000.0,7009600.0,5629500.0,16000500.0,10372000.0,0.809,20730140.0,15754070.0,4976070.0,14359600.0,0.17050433333333334,1670214.9,0.31061938684,172795.1,1.3065953700965485,72867.70682,433990.71885,15.813584080000009,0.018836873328559607,0.09479219031089074,0.032026120578988085,0.622623161461014,1.4638704655653425,50605.0,0.07250000000000001,2022 I,
2022.0,33327400.0,7195900.0,7307100.0,16959199.999999996,10596200.0,0.8271000000000001,23275379.999999996,17444549.999999996,5830830.0,15652800.0,0.19302366666666665,2474698.0,0.316958558,214302.80000000002,1.3213598977786396,104410.82053000001,484832.63923999993,16.162045369999998,0.03190820428635022,0.178107173289735,0.032792132063482284,0.6006153302609915,1.5077131054363326,61665.0,0.075,2022 II,
2022.0,34713400.0,8196000.0,7534100.0,17991800.000000004,11225700.0,0.8274,26130019.999999996,19438310.000000004,6691709.999999998,16144900.0,0.17121266666666665,2609270.0000000014,0.3267614,273015.69999999995,1.3567723430391072,108253.86425,531929.56961,17.05736131000002,0.04704747137968012,0.2642748832766934,0.03071032491344275,0.5926391778189986,1.4142547734847688,59127.0,0.075,2022 III,
2022.0,35747999.999999985,8259099.999999998,11537599.999999998,17963100.000000007,11743000.0,0.8393999999999999,25425030.000000004,18205809.99999999,7219220.0,17460300.0,0.15054633333333334,3102579.6000000024,0.33343,265299.20000000007,1.3929981645982514,125262.02031,577534.37497,13.725092165000147,0.05257293786180233,0.3000615789941053,0.030317810145652963,0.6167530657013585,1.4076329135278995,62920.0,0.08125,2022 IV,
2023.0,30310600.0,8290000.0,6567000.0,18479900.0,11964400.0,0.9013,20857809.999999996,14006980.0,6850830.0,17688900.0,0.13799466666666665,931341.1,0.3295,185334.7,1.436181107700797,76131.985,583589.24106,13.91708009000012,0.012957782043627162,0.07198844297250113,0.02844664397060855,0.6551484472418477,1.3354593549091989,56186.0,0.085,2023 I,
2023.0,29991500.0,7190000.0,7496299.999999999,19391199.999999996,12748800.0,0.9218999999999999,18163480.000000004,11076860.000000002,7086620.000000001,18401700.0,0.13313833333333336,3413103.599999999,0.33751,213512.8,1.4528408085501265,100794.532,617854.0735200001,16.57960016000002,0.021454683417108353,0.130726238067897,0.027257837098284915,0.6602236322696248,1.2628784059943305,76558.0,0.08875,2023 II,
2023.0,30510400.0,6597000.0,9151200.0,20147200.000000004,12705500.0,0.9198,18084940.000000004,10578250.0,7506690.000000002,17896200.0,0.147322,3196767.1000000015,0.34523000000000004,240258.19999999995,1.4933750671086752,104918.58741999995,643085.23779,22.302806459999942,0.029781212326230305,0.1764440790741645,0.027166912132646517,0.6751261750993975,1.2841566858613296,91918.0,0.09,2023 III,
2023.0,32193000.0,13497800.000000004,13244000.0,20031899.999999993,12947800.0,0.9338,19170219.999999996,11229350.0,7940869.999999997,20875200.0,0.14232966666666666,5075198.3999999985,0.34811000000000003,332326.4,1.5189117807562333,94647.02724000007,659043.31908,17.300444700000018,0.029232917758229195,0.1831934981693755,0.02582138017020799,0.7313097865186329,1.1624018409204793,108724.0,0.085,2023 IV,
2024.0,29096800.0,9234300.0,8412600.0,19408100.0,13150500.0,0.9853,16839350.0,10529630.0,6309719.999999999,20396400.0,0.14110566666666668,2413844.599999999,0.34954,233462.2,1.5520240575767195,92049.80842,669359.78759,16.43022009999996,0.003798249953003677,0.024585748681087517,0.02381878484141557,0.7462670094618404,1.0709283670246263,139975.0,0.0775,2024 I,
2024.0,30423599.999999996,9608600.000000002,7639500.0,20473100.0,14180700.0,1.0028,20848290.0,12083770.0,8764520.0,20401000.0,0.14389933333333332,2868130.7000000007,0.35345,630847.3999999999,1.5860133844376498,115337.48200000002,712667.61041,16.226821889999915,0.01157529390593537,0.07863605440986166,0.025062929405175866,0.7452009047450583,1.1254406752003696,198624.0,0.0725,2024 II ,
2024.0,33309100.000000007,8894099.999999998,9121900.0,21705800.000000004,14164000.0,0.993,20407990.0,10588790.0,9819199.999999998,20897400.0,0.13573366666666664,3590035.8,0.36143000000000003,800935.4,1.6456474876925056,126285.41380000001,750604.1268900001,20.050513879999997,0.021789035779643296,0.13383431266535933,0.028373769446463866,0.7261943040999502,1.2091265938955278,224272.0,0.0725,2024 III,
2024.0,33507500.0,9427199.999999996,12545699.999999996,21506399.999999993,14661900.0,1.0092,22478250.0,11573090.0,10905159.999999998,20916500.0,0.12684266666666666,5155278.8999999985,0.36351999999999995,907499.8999999999,1.6999538547863582,110883.18506999999,760424.19,17.582014080000015,0.027755216386013838,0.16655025443741736,0.027982304108901325,0.7329011968594001,1.1902673076386576,250864.0,0.0725,2024 IV,
2025.0,29892900.0,9733400.0,8115000.0,20690700.0,15074000.0,1.0837999999999999,20325710.0,10698610.0,9627100.0,21498100.0,0.12888266666666667,2344373.1,0.36776,682931.6,1.7750918151679151,93983.08141,777043.67135,23.714639649999807,0.007107397181280365,0.043815235175725935,0.025499643551159572,0.6797272435746958,1.164487081216225,245777.0,0.0725,2025 I,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,29173.984039999992,817018.92578,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,1.1444629946998681,252200.0,0.07125000000000001,2025 II,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,nan,
